Bestseller,Genre,GenreBin,Title,Author,Published Year,Publisher,Page,Price,Reference by person,Reference by Magazine,authorgender(male0fe1team2),isFirstBestSeller,Duration,Duration1,Duration2(0=S1=L2=etc),Impact
2020,CookbooksFood&Wine,4,Magnolia Table Volume 2: A Collection of・,Joanna Gaines,2020,HarperCollinsPublishers,352,35,0,0,1,0,1(2020),2,2,242000
2020,Politics&SocialSciences,7,Live Free Or Die: America (and the World) on the・,Sean Hannity,2020,Threshold Editions ,352,30,0,0,0,0,1(2020),2,2,162000
2020,Biographies&Memoirs,1,The Splendid and the Vile: A Saga of Churchill・,Erik Larson,2020,Crown ,608,32,1,4,0,0,1(2020),2,2,1.18E+05
2020,Children'sBooks,3,How to Catch a Mermaid,Adam Wallace,2018,Sourcebooks Wonderland ,40,10.99,0,0,0,1,1(2020),2,2,379940
2020,Politics&SocialSciences,7,Caste (Oprah's Book Club): The Origins of Our・,Isabel Wilkerson,2020,Random House ,496,32,1,5,1,1,1(2020),2,2,30600
2020,Children'sBooks,3,Human Body Activity Book for Kids: Hands-On・,Ph.D. Katie Stokes M.Ed.,2019,Rockridge Press ,68,8.99,0,0,0,1,1(2020),2,2,12760
2020,Religion&Spirituality,0,Get Out of Your Head: Stopping the Spiral of・,Jennie Allen,2020,WaterBrook,256,24.5,0,0,1,1,1(2020),2,2,111000
2020,Children'sBooks,3,The Big Book of Silly Jokes for Kids: 800+ Jokes!,Carole P. Roman,2019,Rockridge Press ,160,9.99,0,0,0,1,1(2020),2,2,804100
2020,Business&SelfHelp,2,Burn After Writing,Sharon Jones,2015,TarcherPerigee ,160,14,0,0,1,1,1(2020),2,2,468658.41
2020,Business&SelfHelp,2,The Boy the Mole the Fox and the Horse,Charlie Mackesy,2019,HarperOne,128,22.99,0,1,1,1,1(2020),2,2,21450
2020,Children'sBooks,3,Paint by Sticker Kids: Unicorns & Magic: Create・,Workman Publishing,2019,Workman Publishing Company,34,9.95,0,0,1,1,1(2020),2,2,67760
2020,Children'sBooks,3,I Love You to the Moon and Back,Amelia Hepworth,2015,Tiger Tales,28,9.99,0,0,0,1,1(2020),2,2,1723.2457
2020,Politics&SocialSciences,7,Just Mercy: A Story of Justice and Redemption,Bryan Stevenson,2015,One World,368,17,0,1,0,1,1(2020),2,2,67802.471
2020,Children'sBooks,3,Chicka Chicka Boom Boom (Board Book),Bill Martin Jr.,2012,Little Simon ,36,7.99,0,0,1,0,4,1,1,312963.9663
2020,Children'sBooks,3,How to Catch a Unicorn,Adam Wallace,2019,Sourcebooks Wonderland ,40,10.99,0,0,0,1,1(2020),2,2,356400
2020,Politics&SocialSciences,7,Disloyal: A Memoir: The True Story of the Former・,Michael Cohen,2020,Skyhorse Publishing,432,32,0,0,0,1,1(2020),2,2,29200000
2020,Religion&Spirituality,0,Prayer Journal for Women: 52 Week Scripture・,Nancy Grace,2020,Independently published ,105,6.99,0,0,1,1,1(2020),2,2,20500000
2020,Children'sBooks,3,I've Loved You Since Forever,Hoda Kotb,2018,HarperCollins,32,8.99,0,2,1,1,1(2020),2,2,31823
2020,Business&SelfHelp,2,So You Want to Talk About Race,Ijeoma Oluo,2019,Seal Press,272,16.99,0,0,1,1,1(2020),2,2,5643
2020,Literature&Fiction,6,The Vanishing Half,Brit Bennett,2020,Riverhead Books ,352,27,1,9,1,1,1(2020),2,2,72700
2020,Children'sBooks,3,My First Toddler Coloring Book: Fun with・,Tanya Emelyanova (Illustrator,2018,Rockridge Press,96,5.99,0,0,0,1,1(2020),2,2,93.17
2020,History,7,Stamped from the Beginning: The Definitive・,Ibram X. Kendi,2017,Bold Type Books,608,19.99,0,3,0,1,1(2020),2,2,21695.3
2020,Children'sBooks,3,Preschool Math Workbook for Toddlers Ages 2-4:・,Modern Kid Press,2019,Modern Kid Press ,83,6.99,0,0,1,0,1(2020),2,2,20020000
2020,Biographies&Memoirs,1,The Mamba Mentality: How I Play,Kobe Bryant,2018,MCD,208,35,0,4,0,1,1(2020),2,2,8070700
2020,Children'sBooks,3,School Zone - Multiplication 0-12 Flash Cards・,School Zone,2015,School Zone Publishing,56,2.99,0,0,0,0,1(2020),2,2,55401544
2020,Religion&Spirituality,0,Relationship Goals: How to Win at Dating・,Michael Todd,2020,WaterBrook,208,23,0,0,0,1,1(2020),2,2,24700000
2020,Children'sBooks,3,Awesome Science Experiments for Kids: 100+・,Crystal Chatterton,2018,Rockridge Press ,254,14.99,0,0,1,1,1(2020),2,2,3569.5
2020,Politics&SocialSciences,7,The Color of Law: A Forgotten History of How・,Richard Rothstein,2018,Liveright,368,27.95,0,0,1,1,1(2020),2,2,28072
2020,Children'sBooks,3,Paint by Sticker Kids: Zoo Animals: Create 10・,Workman Publishing,2016,Workman Publishing Company,34,9.95,0,0,1,1,1(2020),2,2,45240.69
2020,Children'sBooks,3,Learn to Read: A Magical Sight Words and・,Modern Kid Press,2019,Modern Kid Press ,104,6.99,0,0,1,0,1(2020),2,2,20130000
2020,Children'sBooks,3,First Little Readers Parent Pack: Guided Reading・,Liza Charlesworth,2017,Teaching Resources,7,20.99,0,0,1,1,1(2020),2,2,1370.93
2020,Children'sBooks,3,Llama Llama Loves Camping,Anna Dewdney (Creator,2018,Penguin Young Readers Licenses,24,4.99,0,0,1,1,1(2020),2,2,707.85
2020,Religion&Spirituality,0,Man's Search for Meaning,Viktor E. Frankl,2006,Beacon Press,192,15,0,2,0,0,1(2020),2,2,47088.97936
2020,Children'sBooks,3,Where's Spot?,Eric Hill ,2020,Warner,22,7.99,0,0,1,0,1(2020),2,2,28700000
2020,Literature&Fiction,6,Normal People,Sally Rooney,2020,Hogarth,304,17,0,3,1,1,1(2020),2,2,88100
2020,Literature&Fiction,6,The Giver of Stars,Jojo Moyes,2020,Pamela Dorman Books,127,28,0,0,1,0,1(2020),2,2,87400
2020,HealthFitness&Dieting,5,Medical Medium Cleanse to Heal: Healing Plans・,Anthony William,2020,Hay House Inc.,592,34.99,0,0,1,0,1(2020),2,2,22900000
2020,Children'sBooks,3,Kindergarten Math Workbook: Kindergarten and・,IXL Learning,2020,IXL Learning ,224,14.95,0,0,1,1,1(2020),2,2,48900
2020,Politics&SocialSciences,7,Blackout: How Black America Can Make Its・,Candace Owens,2020,Threshold Editions ,320,28,0,0,0,1,1(2020),2,2,91520
2020,Religion&Spirituality,0,God Gave Us You,Lisa Tawn Bergren,2000,WaterBrook Press,40,6.99,0,0,1,1,1(2020),2,2,1330
2020,CookbooksFood&Wine,4,Modern Comfort Food: A Barefoot Contessa・,Ina Garten,2020,Clarkson Potter,256,35,0,0,1,0,1(2020),2,2,131000
2020,Children'sBooks,3,The Deep End (Diary of a Wimpy Kid Book 15),Jeff Kinney,2020,Harry N. Abrams,224,14.99,0,2,0,0,1(2020),2,2,1.34E+05
2020,Biographies&Memoirs,1,Greenlights,Matthew McConaughey,2020,Crown,306,30,0,0,0,1,1(2020),2,2,364210
2020,Children'sBooks,3,Room on the Broom,Julia Donaldson,2003,Puffin Books,32,5,0,0,0,1,1(2020),2,2,204000
2020,Politics&SocialSciences,7,Between the World and Me,Ta-Nehisi Coates,2015,One World,176,26,0,0,0,1,3,1,1,50380
2020,Children'sBooks,3,Where the Wild Things Are,Maurice Sendak,2012,HarperCollins,48,19.95,0,0,0,0,1(2020),2,2,43700
2020,Children'sBooks,3,The One and Only Ivan,Katherine Applegate,2015,HarperCollins,336,8.99,0,0,1,0,1(2020),2,2,79640
2020,Biographies&Memoirs,1,A Promised Land,Barack Obama,2020,Crown ,768,45,2,1,1,0,1(2020),2,2,28900000
2019,Literature&Fiction,6,Where the Crawdads Sing,Delia Owens,2017,G.P. Putnam's Sons,209,26,0,0,1,1,3,1,1,53800
2019,Biographies&Memoirs,1,Becoming,Michelle Obama,2018,Crown,448,32.5,2,2,1,1,3,1,1,13100000
2019,Biographies&Memoirs,1,Educated: A Memoir,Tara Westover,2018,Random House,352,28,2,5,0,1,3,1,1,32700
2019,Children'sBooks,3,Dog Man: For Whom the Ball Rolls: From the・,Dav Pilkey,2019,Graphix,240,12.99,0,2,1,0,1,0,0,39800
2019,Business&SelfHelp,2,Girl Wash Your Face: Stop Believing the Lies・,Rachel Hollis,2018,Thomas Nelson on Brilliance Audio,240,24.99,0,1,1,1,2,0,1,65098
2019,Children'sBooks,3,Dog Man: Fetch-22: From the Creator of Captain・,Dav Pilkey,2019,Graphix,240,12.99,0,0,1,0,2(2019),2,1,48800
2019,Children'sBooks,3,Wrecking Ball (Diary of a Wimpy Kid Book 14),Jeff Kinney,2019,Harry N. Abrams,224,14.99,0,2,0,0,1,0,0,1.08E+05
2019,Children'sBooks,3,The Wonderful Things You Will Be,Emily Winfield Martin,2015,Random House Books for Young Readers,36,17.99,0,0,1,1,5,1,1,20300
2019,Children'sBooks,3,School Zone - Big Preschool Workbook - Ages 4・,School Zone,2018,School Zone Publishing,320,12.99,0,0,0,1,3,1,1,139700000
2019,Religion&Spirituality,0,The 5 Love Languages: The Secret to Love that・,Gary Chapman,2015,Northfield Publishing,208,17.99,0,0,0,0,10,1,1,155897.368
2019,Business&SelfHelp,2,Girl Stop Apologizing: A Shame-Free Plan for・,Rachel Hollis,2019,Harpercollins Leadership,370,24.99,0,0,1,1,1,0,0,79860
2019,Children'sBooks,3,The Wonky Donkey,Craig Smith,2010,Scholastic Paperbacks,24,7.99,0,0,0,1,3,1,1,21450000
2019,Business&SelfHelp,2,The Subtle Art of Not Giving a F*ck: A・,Mark Manson,2019,Harper,224,26.99,0,0,0,1,4,1,1,127874.494
2019,Children'sBooks,3,Difficult Riddles For Smart Kids: 300 Difficult・,M Prefontaine,2017,CreateSpace Independent Publishing Platform,79,5.48,0,0,1,1,1,0,0,16588.253
2019,CookbooksFood&Wine,4,Salt Fat Acid Heat: Mastering the Elements of・,Samin Nosrat,2017,Simon and Schuster,480,37.5,0,3,1,1,2,0,1,6430.76643
2019,Children'sBooks,3,The Very Hungry Caterpillar,Eric Carle,1981,World of Eric Carle ,32,21.99,0,0,1,0,8,1,1,138600
2019,Children'sBooks,3,What Should Danny Do? (The Power to Choose・,"Adir Levy , Ganit Levy",2020,Elon Books,68,21.99,0,0,1,0,2(2019),2,1,330000
2019,Religion&Spirituality,0,It's Not Supposed to Be This Way: Finding・,Lysa TerKeurst,2018,Thomas Nelson ,256,24.99,0,0,1,0,1,0,0,20300
2019,Children'sBooks,3,I Am Confident Brave & Beautiful: A Coloring・,Hopscotch Girls,2017,Hopscotch Girls,24,9.5,0,0,1,1,2(2019),2,1,26620
2019,Religion&Spirituality,0,The Four Agreements: A Practical Guide to・,Don Miguel Ruiz,1997,Amber-Allen Publishing Incorporated ,160,6.48,1,0,0,0,9,1,1,225500
2019,Politics&SocialSciences,7,Unfreedom of the Press,Mark R. Levin,2019,Threshold Editions,272,28,0,5,1,0,1,0,0,170000
2019,Children'sBooks,3,Dog Man: Brawl of the Wild: From the Creator of・,Dav Pilkey,2018,Graphix,224,24.99,0,2,1,0,2,0,1,30129
2019,Children'sBooks,3,Giraffes Can't Dance,Giles Andreae,2012,Cartwheel Books,32,16.99,0,0,1,1,7,1,1,5403.86
2019,Children'sBooks,3,If Animals Kissed Good Night,Ann Whitford Paul,2014,Farrar Straus and Giroux ,34,7.99,0,0,1,1,4,1,1,15620
2019,Children'sBooks,3,Oh the Places You'll Go!,Dr. Seuss,1990,Random House Books for Young Readers ,56,18.99,0,0,0,0,10,1,1,5299800
2019,Biographies&Memoirs,1,Howard Stern Comes Again,Howard Stern,2019,Simon & Schuster ,560,35,0,4,1,1,1,0,0,186819.2
2019,Children'sBooks,3,Guts,Raina Telgemeier,2019,Graphix,224,12.99,0,6,1,1,1,0,0,19100
2019,CraftsHobbies&Home,0,The Life-Changing Magic of Tidying Up: The・,Marie Kond_,2016,Ten Speed Press,304,16.99,0,12,0,1,5,1,1,127050
2019,Teen&Youngadult,6,Harry Potter and the Goblet of Fire: The・,J.K. Rowling,2019,Arthur A. Levine Books,403,12.99,0,0,1,0,1,0,0,14399000
2019,Children'sBooks,3,National Geographic Little Kids First Big Book of・,Elizabeth Carney,2015,National Geographic Kids,128,14.95,0,0,1,1,1,0,0,56807.08
2019,CookbooksFood&Wine,4,Instant Pot Pressure Cooker Cookbook: 500・,Jessica Williams,2020,Independently published ,254,8.99,0,0,1,1,2,0,1,23650000
2019,MedicalBooks,5,The Body Keeps the Score: Brain Mind and Body・,Bessel van der Kolk M.D.,2015,Penguin Books,464,14.99,0,0,1,1,3,1,1,2023.12
2019,Business&SelfHelp,2,Good Days Start With Gratitude: A 52 Week・,Pretty Simple Press ,2020,CreateSpace Independent Publishing Platform,454,6.99,0,0,1,0,1,0,0,28919000
2019,Children'sBooks,3,Goodnight Moon,Margaret Wise Brown,2005,HarperCollins,32,18.99,0,0,0,0,6,1,1,236584.1463
2019,CookbooksFood&Wine,4,The Complete Ketogenic Diet for Beginners: Your・,Amy Ramos,2016,Rockridge Press ,158,11.99,0,0,0,1,3,1,1,264000
2019,Children'sBooks,3,Unicorn Coloring Book: For Kids Ages 4-8 (US・,Silly Bear,2018,On The Hop Books Ltd,102,4.99,0,0,0,1,1,0,0,1470000
2019,Literature&Fiction,6,Strange Planet (Strange Planet Series),Nathan W. Pyle,2020,Morrow Gift,144,14.99,0,0,0,1,1,0,0,25200
2019,Literature&Fiction,6,Player's Handbook (Dungeons & Dragons),Wizards RPG Team,2014,Wizards of the Coast,320,22.96,0,0,0,0,4,1,1,57400
2019,Literature&Fiction,6,The Silent Patient,Alex Michaelides,2019,Celadon Books,336,26.99,0,1,1,1,2(2019),2,1,23700
2019,Children'sBooks,3,5000 Awesome Facts (About Everything!)・,National Geographic Kids,2014,National Geographic Kids,224,14.77,0,2,0,1,1,0,0,34800000
2019,Teen&Youngadult,6,To Kill a Mockingbird,Harper Lee,2005,Harper Perennial ,336,15.99,0,1,1,0,7,1,1,400958.997
2019,Business&SelfHelp,2,You Are a Badass: How to Stop Doubting Your・,Jen Sincero,2013,Running Press Adult,256,17,0,1,1,1,4,1,1,21700
2019,Children'sBooks,3,National Geographic Kids Why?: Over 1111・,Crispin Boyer ,2020,National Geographic Kids,192,19.99,0,0,1,0,1,0,0,10100
2019,Religion&Spirituality,0,Can't Hurt Me: Master Your Mind and Defy the・,David Goggins,2020,Lioncrest Publishing ,364,24.99,0,0,0,1,1,0,0,95900
2019,Literature&Fiction,6,The Guardians,John Grisham,2019,Dell ,386,9.99,0,1,0,0,1,0,0,8.79E+04
2019,Children'sBooks,3,P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,2014,Random House Books for Young Readers,12,5.68,0,0,1,1,4,1,1,1317.39718
2019,Business&SelfHelp,2,The Total Money Makeover: Classic Edition: A・,Dave Ramsey,2013,Thomas Nelson,272,26.99,0,0,0,1,3,1,1,72024.58402
2019,Children'sBooks,3,Brown Bear Brown Bear What Do You See?,Bill Martin Jr. and Eric Carle,2020,Henry Holt and Co. (BYR),24,8.99,0,0,1,0,6,1,1,7037.9287
2019,CookbooksFood&Wine,4,The Unofficial Harry Potter Cookbook: From・,Dinah Bucholz,2010,Adams Media,256,10.99,0,3,1,1,1,0,0,22200
2019,Politics&SocialSciences,7,The Mueller Report,The Washington Post,2019,Scribner ,736,15,0,4,0,1,1,0,0,157058000
2019,Business&SelfHelp,2,Zen as F*ck (Zen as F*ck Journals),Monica Sweeney,2019,Castle Point Books ,128,14.99,0,0,1,1,2(2019),2,1,68849
2019,Business&SelfHelp,2,Rich Dad Poor Dad: What the Rich Teach Their・,Robert T. Kiyosaki,2012,Plata Publishing,336,24.99,0,0,1,0,3,1,1,135520
2019,Literature&Fiction,6,The Institute,Stephen King,2020,Scribner,576,34.99,0,0,1,0,1,0,0,30140000
2019,Literature&Fiction,6,The Testaments: The Sequel to The Handmaid's・,Margaret Atwood,2019,Anchor ,381,16.95,0,6,1,0,1,0,0,205700
2019,Children'sBooks,3,Super Deluxe Essential Handbook (Pok_mon):・,Scholastic,2018,Scholastic Inc.,496,14.99,0,0,0,0,1,0,0,9427000
2019,Business&SelfHelp,2,Lettering and Modern Calligraphy: A Beginner's・,June & Lucy,2019,June & Lucy ,108,6.99,0,0,1,1,2,0,1,14630000
2019,Children'sBooks,3,Carson Dellosa | First Words Flash Cards |・,Carson-Dellosa Publishing (Compiler,2004,Carson Dellosa Education,102,3.99,0,0,1,1,2(2019),2,1,277.00772
2019,Business&SelfHelp,2,Atomic Habits: An Easy & Proven Way to Build・,Jessica Bridge,2020,Genius Press ,100,27,0,0,1,1,2(2019),2,1,450120
2019,Business&SelfHelp,2,Make Your Bed: Little Things That Can Change・,Admiral William H. McRaven,2017,Grand Central Publishing,144,20,0,3,0,1,3,1,1,17876.661
2019,Religion&Spirituality,0,The Gifts of Imperfection: Let Go of Who You・,Bren_ Brown,2012,Brilliance Audio,160,16.95,0,0,1,1,8,1,1,108790
2019,Politics&SocialSciences,7,Sapiens: A Brief History of Humankind,Yuval Noah Harari,2020,Harper Perennial,443,24.99,0,0,0,1,3,1,1,95449.7
2019,Parenting&Relationships,0,What to Expect When You're Expecting,Heidi Murkoff,2016,Workman Publishing Company,656,15.95,0,0,1,0,8,1,1,24970
2019,Business&SelfHelp,2,Daring Greatly: How the Courage to Be・,Bren_ Brown,2015,Avery,320,17,0,1,1,1,4,1,1,81723.4
2019,Religion&Spirituality,0,The Alchemist 25th Anniversary: A Fable About・,Paulo Coelho,2003,HarperOne,208,25.99,0,0,0,0,6,1,1,9876020
2019,Reference,0,Publication Manual of the American・,American Psychological Association,2019,American Psychological Association,428,26.7,0,0,0,0,10,1,1,230000000
2019,Children'sBooks,3,The Pout-Pout Fish,Deborah Diesen,2013,Farrar Straus and Giroux ,34,7.99,0,1,1,1,4,1,1,114000
2019,Politics&SocialSciences,7,Talking to Strangers: What We Should Know・,Malcolm Gladwell,2020,"Little, Brown and Company",386,30,0,0,0,0,1,0,0,59411
2019,Children'sBooks,3,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,2007,Little Simon,18,14.99,0,0,0,1,6,1,1,227601
2019,Literature&Fiction,6,The Overstory,Richard Powers,2019,W. W. Norton & Company,512,18.95,0,3,0,1,1,0,0,5170000
2019,Politics&SocialSciences,7,Fahrenheit 451,Ray Bradbury,2012,Simon & Schuster,249,17,0,3,1,1,7,1,1,156200
2019,Business&SelfHelp,2,StrengthsFinder 2.0,Gallup,2007,Gallup Press,175,39.99,0,0,0,0,9,1,1,360580
2019,Politics&SocialSciences,7,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,2018,Random House Canada,448,25.95,0,0,1,1,2,0,1,106536.4
2019,Literature&Fiction,6,Eleanor Oliphant Is Completely Fine,Gail Honeyman,2018,Penguin Books,352,16,0,5,1,1,1,0,0,3773.42493
2019,Biographies&Memoirs,1,Me: Elton John Official Autobiography,Elton John,2020,Henry Holt and Co.,384,19.99,0,0,0,1,1,0,0,10800000
2019,Religion&Spirituality,0,The Road Back to You: An Enneagram Journey to・,Ian Morgan Cron,2016,IVP Books ,240,23.99,0,0,1,1,1,0,0,6886
2019,Literature&Fiction,6,The Tattooist of Auschwitz,Heather Morris,2018,Harper Paperbacks,249,16.99,0,1,1,1,1,0,0,314600
2019,Business&SelfHelp(CCD),2,People of Walmart.com Adult Coloring Book:・,Andrew Kipple,2016,Day Drankin' Press ,80,8,0,0,0,1,1,0,0,588.5682
2019,Literature&Fiction,6,The Great Gatsby,F. Scott Fitzgerald,2004,Scribner ,180,17,0,0,1,1,9,1,1,284900
2019,CookbooksFood&Wine,4,The Complete Cookbook for Young Chefs: 100+・,America's Test Kitchen Kids,2019,Sourcebooks Explore ,224,19.99,0,0,1,1,1,0,0,127069.239
2019,Politics&SocialSciences,7,Blowout: Corrupted Democracy Rogue State・,Rachel Maddow,2019,Crown,432,30,0,7,1,1,1,0,0,291000
2019,Children'sBooks,3,Love You Forever,Robert Munsch,1995,Firefly Books ,32,4.99,0,1,0,1,8,1,1,13109.5514
2019,CookbooksFood&Wine,4,The Easy 5-Ingredient Ketogenic Diet Cookbook:・,Jen Fisch,2018,Rockridge Press ,210,14.99,0,0,0,1,2,0,1,10200
2019,Literature&Fiction,6,The Giving Tree,Shel Silverstein,2014,Harper & Row,57,9.99,0,0,0,0,3,1,1,4.89E+04
2019,Children'sBooks,3,Dragons Love Tacos,Adam Rubin,2012,Dial Books,40,18.99,0,1,0,1,5,1,1,126498.24
2019,Business&SelfHelp,2,How to Win Friends & Influence People,Dale Carnegie,1998,Pocket Books ,288,9.5,0,0,1,0,7,1,1,196020
2019,CookbooksFood&Wine,4,Magnolia Table: A Collection of Recipes for・,Joanna Gaines,2018,William Morrow Cookbooks,336,35,0,3,1,0,3,1,1,289000
2019,HealthFitness&Dieting,5,The Obesity Code: Unlocking the Secrets of・,Dr. Jason Fung,2016,Greystone Books,296,18.99,0,2,0,1,1,0,0,16085.77388
2019,Children'sBooks,3,Magic Tree House Boxed Set Books 1-4:・,Mary Pope Osborne,2001,Random House Books for Young Readers,80,23.96,0,0,0,1,1,0,0,39380
2019,Literature&Fiction,6,Then She Was Gone,Lisa Jewell,2018,Atria Books,384,16,0,0,1,1,2(2019),2,1,38620.0298
2019,History,7,The Pioneers: The Heroic Story of the Settlers・,David McCullough,2020,Simon & Schuster ,352,18,0,3,1,0,1,0,0,1.75E+05
2019,HealthFitness&Dieting,5,Medical Medium Liver Rescue: Answers to・,Anthony William,2018,Hay House Inc.,496,34.99,0,0,1,1,2,0,1,4131280.252
2019,Children'sBooks,3,The Care and Keeping of You: The Body Book for・,Valorie Schaefer,2012,American Girl,104,12.99,0,0,0,1,8,1,1,2830
2019,Children'sBooks,3,There's No Place Like Space: All About Our Solar・,Tish Rabe,1999,Random House Books for Young Readers,48,9.99,0,0,1,1,2(2019),2,1,3890
2019,Children'sBooks,3,How to Draw 101 Animals,Dan Green,2003,Imagine That,48,14.98,0,0,0,1,1,0,0,712800000
2019,Children'sBooks,3,Unicorn Activity Book for Kids Ages 4-8: A Fun・,Modern Kid Press,2019,Modern Kid Press ,85,5.99,0,0,1,1,1,0,0,710396
2019,CookbooksFood&Wine,4,Simply Keto: A Practical Approach to Health &・,Emily Taylor,2020,Victory Belt Publishing,220,34.95,0,0,1,1,2,0,1,650871.5
2019,Teen&Youngadult,6,The Outsiders,S. E. Hinton,2006,Speak,224,10.99,0,2,1,1,5,1,1,133000
2019,Children'sBooks,3,The Try Not to Laugh Challenge - Would Your・,Crazy Corey,2019,Try Not to Laugh Challenge Group,78,6.99,0,0,0,1,1,0,0,165480.8
2018,Politics&SocialSciences,7,Fire and Fury: Inside the Trump White House,Michael Wolff,2019,Henry Holt and Company,336,30,0,0,0,1,1,0,0,403700
2018,Politics&SocialSciences,7,Fear: Trump in the White House,Bob Woodward,2019,Simon & Schuster,448,18,0,0,0,0,1,0,0,136400
2018,Children'sBooks,3,Last Week Tonight with John Oliver Presents A・,Jill Twiss,2018,Chronicle Books,40,18.99,0,0,0,1,1,0,0,0
2018,Politics&SocialSciences,7,Whose Boat Is This Boat?: Comments That Don't・,The Staff of The Late Show with Stephen Colbert ,2020,Simon & Schuster,12,14.99,0,0,1,0,1,0,0,63500
2018,Biographies&Memoirs,1,A Higher Loyalty: Truth Lies and Leadership,James Comey,2018,Flatiron Books,312,17.99,0,3,0,1,1,0,0,94930
2018,Children'sBooks,3,The Meltdown (Diary of a Wimpy Kid Book 13),Jeff Kinney,2018,Amulet Books,224,14.99,0,0,0,0,1,0,0,1.08E+05
2018,Children'sBooks,3,First 100 Words,Roger Priddy,2011,Priddy Books US,24,5.99,0,0,0,0,5,1,1,10560
2018,Children'sBooks,3,Dog Man: Lord of the Fleas: From the Creator of・,Dav Pilkey,2018,Graphix,256,9.99,0,2,1,0,1,0,0,23893.9
2018,HealthFitness&Dieting,5,The Plant Paradox: The Hidden Dangers in・,Steven R. Gundry MD MD,2017,Tantor Audio,416,29.99,0,0,0,1,2,0,1,6140
2018,CraftsHobbies&Home,0,Homebody: A Guide to Creating Spaces You・,Joanna Gaines,2018,Harper Design,352,38.47,0,0,1,1,1,0,0,135762
2018,Literature&Fiction,6,Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,2018,Anchor ,500,49.9,1,4,0,1,1,0,0,29795.88446
2018,Teen&Youngadult,6,The Hate U Give,Angie Thomas,2017,Balzer + Bray,464,18.99,0,0,1,1,1,0,0,3820000
2018,CookbooksFood&Wine,4,The Instant Pot Electric Pressure Cooker・,Laurel Randolph,2016,Rockridge Press ,176,14.99,0,0,1,1,3,1,1,44801.46
2018,Children'sBooks,3,Dog Man and Cat Kid: From the Creator of・,Dav Pilkey,2020,Graphix ,176,12.99,0,0,1,0,1,0,0,14140.3
2018,Children'sBooks,3,A Wrinkle in Time (Time Quintet),Madeleine L'Engle,2007,Square Fish,256,6.99,0,1,1,1,1,0,0,17741.1907
2018,Literature&Fiction,6,Milk and Honey,Rupi Kaur,2015,Andrews McMeel Publishing,208,14.99,0,5,1,1,3,1,1,83270
2018,Literature&Fiction,6,Little Fires Everywhere,Celeste Ng,2019,Penguin Books,368,17,1,8,1,1,1,0,0,40728.2
2018,Biographies&Memoirs,1,Kitchen Confidential Updated Edition:・,Anthony Bourdain,2007,Ecco,312,21,0,2,0,1,1,0,0,127000
2018,Literature&Fiction,6,The President Is Missing,James Patterson,2019,Grand Central Publishing,528,17.99,0,3,0,0,1,0,0,987349.5673
2018,CookbooksFood&Wine,4,The Plant Paradox Cookbook: 100 Delicious・,Dr. Steven R Gundry MD,2018,Harper Wave,288,35,0,0,0,1,1,0,0,2552
2018,Literature&Fiction,6,Ready Player One,Ernest Cline,2012,Ballantine Books,374,28.99,0,0,0,1,2,0,1,99033.80302
