BestsellerNonfic,Genre,GenreBin,Title,Author,Published Year,Publisher,Page,Price,authorgender(male0fe1team2),isFirstBestSeller,Duration,痕井穿Duration,痕井板Duration3(0=S1=L2=etc),Impact,year_rank,isGlobal50 of first year(False=0True=1)
2011,Religion&Spirituality,0,Radical: Taking Back Your Faith from the・,David Platt,2010,Multnomah,240,14.99,0,0,1,0,0,3.20E+05,,1
2011,Reference,0,Elder Scrolls V: Skyrim: Prima Official Game Guide,David Hodgson,2011,Prima Games,656,68.96,0,1,1,0,0,6.89E+04,,0
2011,Reference,0,The Official Guide for GMAT Review,GMAC (Graduate Management Admission Council),2010,Wiley,1760,81.95,2,1,1,0,0,22000,,1
2020,Biographies&Memoirs,1,Becoming,Michelle Obama,2018,Crown,448,32.5,1,1,3,1,1,13100000,2019_02,1
2020,Biographies&Memoirs,1,Educated: A Memoir,Tara Westover,2018,Random House,352,28,1,1,3,1,1,32700,2019_03,1
2019,Biographies&Memoirs,1,Howard Stern Comes Again,Howard Stern,2019,Simon & Schuster ,560,35,0,1,1,0,0,186819.2,2019_26,1
2019,Biographies&Memoirs,1,Me: Elton John Official Autobiography,Elton John,2020,Henry Holt and Co.,384,19.99,0,1,1,0,0,10800000,2019_75,1
2018,Biographies&Memoirs,1,A Higher Loyalty: Truth Lies and Leadership,James Comey,2018,Flatiron Books,312,17.99,0,1,1,0,0,94930,,1
2018,Biographies&Memoirs,1,Kitchen Confidential Updated Edition:・,Anthony Bourdain,2007,Ecco,312,21,0,1,1,0,0,127000,,1
2018,Biographies&Memoirs,1,Whiskey in a Teacup: What Growing Up in the・,Reese Witherspoon,2018,Atria Books,304,35,1,1,1,0,0,293000,,1
2018,Biographies&Memoirs,1,Man's Search for Meaning (OLD EDITION/OUT・,Viktor E. Frankl,2006,Beacon Press,188,10.99,0,1,1,0,0,34370.39794,,0
2017,Biographies&Memoirs,1,Leonardo da Vinci,Walter Isaacson,2019,Simon & Schuster,326,22,0,0,1,0,0,36939.30199,,1
2017,Biographies&Memoirs,1,Grant,Ron Chernow,2018,Penguin Books,1104,22,0,0,1,0,0,15620,,1
2016,Biographies&Memoirs,1,When Breath Becomes Air,Paul Kalanithi,2016,Random House,228,26,0,1,1,0,0,11400,,1
2016,Biographies&Memoirs,1,The Magnolia Story,Chip Gaines,2020,Thomas Nelson,245,18.99,2,1,1,0,0,129000,,1
2016,Biographies&Memoirs,1,Born to Run,Christopher McDougall,2011,Vintage,304,16.95,0,0,1,0,0,43890,,1
2016,Biographies&Memoirs,1,Alexander Hamilton,Ron Chernow,2005,Penguin Books ,818,22,0,0,1,0,0,3136.070429,,1
2016,Biographies&Memoirs,1,Night (Night),Elie Wiesel,2006,Hill and Wang ,120,11,0,0,5,1,1,41068.005,,1
2015,Biographies&Memoirs,1,Killing Reagan: The Violent Assault That・,Bill O'Reilly,2015,Henry Holt and Co.,336,30,0,0,1,0,0,103951.1,,1
2015,Biographies&Memoirs,1,American Sniper: The Autobiography of the Most・,Chris Kyle,2012,HarperCollins,448,9.99,0,1,2,0,1,20100000,,1
2014,Biographies&Memoirs,1,Killing Patton: The Strange Death of World War・,Bill O'Reilly,2014,Henry Holt and Company,352,30,0,0,1,0,0,85034.928,,1
2014,Biographies&Memoirs,1,Yes Please,Amy Poehler,2014,Dey Street,352,11.99,1,1,1,0,0,106480,,1
2014,Biographies&Memoirs,1,41: A Portrait of My Father,George W. Bush,2014,Crown ,294,28,0,0,1,0,0,484763.51,,1
2013,Biographies&Memoirs,1,Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,2017,Henry Holt and Co.,304,35,0,0,1,0,0,115500,,1
2013,Biographies&Memoirs,1,Happy Happy Happy: My Life and Legacy as the・,Phil Robertson,2013,Howard Books,240,24.99,0,1,1,0,0,146410,,1
2013,Biographies&Memoirs,1,SI-COLOGY 1: Tales and Wisdom from Duck・,Si Robertson,2013,Howard Books,231,22.99,0,1,1,0,0,188868.9,,1
2013,Biographies&Memoirs,1,I Am Malala: The Girl Who Stood Up for・,Malala Yousafzai,2015,Back Bay Books,368,17.99,1,1,1,0,0,77400,,1
2013,Biographies&Memoirs,1,The Reason I Jump: The Inner Voice of a Thirteen・,Naoki Higashida,2016,Random House Trade Paperbacks,208,18,0,1,1,0,0,1555.076246,,1
2012,Biographies&Memoirs,1,No Easy Day: The Autobiography of a Navy Seal:・,Mark Owen,2013,DUTTON Books,336,26.95,0,1,1,0,0,324195.663,,1
2012,Biographies&Memoirs,1,Killing Kennedy: The End of Camelot,Bill O'Reilly,1970,Henry Holt and Co.,336,9.99,0,0,1,0,0,115500,,1
2012,Biographies&Memoirs,1,Killing Lincoln: The Shocking Assassination that・,Bill O'Reilly,2011,Henry Holt and Co.,336,15.99,0,0,2,0,1,77753.81229,,1
2012,Biographies&Memoirs,1,Steve Jobs,Walter Isaacson,2012,Simon & Schuster,656,22,0,0,2,0,1,34940.4976,,1
2012,Biographies&Memoirs,1,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,2013,Vintage,315,16.95,1,1,1,0,0,10678.96971,,1
2012,Biographies&Memoirs,1,Thomas Jefferson: The Art of Power,Jon Meacham,2013,Random House,1016,22,0,0,1,0,0,8680.6489,,1
2012,Biographies&Memoirs,1,Bring Up the Bodies,Hilary Mantel,2013,Picador,432,18,1,0,1,0,0,16119.78785,,1
2011,Biographies&Memoirs,1,Tina Fey: Bossypants,Tina Fey,2011,"Little, Brown",272,16.99,1,1,1,0,0,7.02E+04,,1
2011,Biographies&Memoirs,1,In the Garden of Beasts: Love Terror and an・,Erik Larson,2011,Crown,448,18,0,0,1,0,0,4.39E+04,,1
2011,Biographies&Memoirs,1,A Stolen Life: A Memoir,Jaycee Dugard,2011,Simon & Schuste,314,17,1,1,1,0,0,1.90E+03,,1
2011,Biographies&Memoirs,1,Jacqueline Kennedy: Historic Conversations on・,Hachette Books ,2011,Hachette Books ,356,5.99,2,1,1,0,0,64307.6643,,1
2011,Biographies&Memoirs,1,The Greater Journey: Americans in Paris,David McCullough,2011,Simon & Schuster,578,22,0,0,1,0,0,9.43E+04,,1
2011,Biographies&Memoirs,1,Through My Eyes,Tim Tebow,2011,Independently published ,72,17.99,0,1,1,0,0,20765.4466,,0
2020,Business&SelfHelp,2,Atomic Habits: An Easy & Proven Way to Build・,Jessica Bridge,2020,Genius Press ,100,27,1,1,2(2019),2,1,450120,2019_58,0
2020,Business&SelfHelp,2,Rich Dad Poor Dad: What the Rich Teach Their・,Robert T. Kiyosaki,2012,Plata Publishing,336,24.99,0,0,3,1,1,135520,2019_52,0
2020,Business&SelfHelp,2,The Subtle Art of Not Giving a F*ck: A・,Mark Manson,2019,Harper,224,26.99,0,1,4,1,1,127874.494,2019_13,1
2020,Business&SelfHelp,2,Zen as F*ck (Zen as F*ck Journals),Monica Sweeney,2019,Castle Point Books ,128,14.99,1,1,2(2019),2,1,68849,2019_51,1
2020,Business&SelfHelp,2,The Intelligent Investor: The Definitive Book on・,Benjamin Graham,2006,Harper Business,640,24.99,0,1,"201,720,192,020",2,1,4690000,,1
2019,Business&SelfHelp,2,Girl Wash Your Face: Stop Believing the Lies・,Rachel Hollis,2018,Thomas Nelson on Brilliance Audio,240,24.99,1,1,2,0,1,65098,2019_05,1
2019,Business&SelfHelp,2,Girl Stop Apologizing: A Shame-Free Plan for・,Rachel Hollis,2019,Harpercollins Leadership,370,24.99,1,1,1,0,0,79860,2019_11,1
2019,Business&SelfHelp,2,Good Days Start With Gratitude: A 52 Week・,Pretty Simple Press ,2020,CreateSpace Independent Publishing Platform,454,6.99,2,0,1,0,0,28919000,2019_33,0
2019,Business&SelfHelp,2,You Are a Badass: How to Stop Doubting Your・,Jen Sincero,2013,Running Press Adult,256,17,1,1,4,1,1,21700,2019_42,1
2019,Business&SelfHelp,2,The Total Money Makeover: Classic Edition: A・,Dave Ramsey,2013,Thomas Nelson,272,26.99,0,1,3,1,1,72024.58402,2019_47,1
2019,Business&SelfHelp,2,Lettering and Modern Calligraphy: A Beginner's・,June & Lucy,2019,June & Lucy ,108,6.99,2,1,2,0,1,14630000,2019_56,0
2019,Business&SelfHelp,2,Make Your Bed: Little Things That Can Change・,Admiral William H. McRaven,2017,Grand Central Publishing,144,20,0,1,3,1,1,17876.661,2019_59,0
2019,Business&SelfHelp,2,Daring Greatly: How the Courage to Be・,Bren? Brown,2015,Avery,320,17,1,1,4,1,1,81723.4,2019_64,1
2019,Business&SelfHelp,2,StrengthsFinder 2.0,Gallup,2007,Gallup Press,175,39.99,0,0,9,1,1,360580,2019_72,0
2019,Business&SelfHelp(CCD),2,People of Walmart.com Adult Coloring Book:・,Andrew Kipple,2016,Day Drankin' Press ,80,8,0,1,1,0,0,588.5682,2019_78,0
2019,Business&SelfHelp,2,How to Win Friends & Influence People,Dale Carnegie,1998,Pocket Books ,288,9.5,0,0,7,1,1,196020,2019_86,1
2018,Business&SelfHelp,2,Principles: Life and Work,Ray Dalio,2017,Simon & Schuster,592,30,0,1,2,0,1,148500,,1
2018,Business&SelfHelp,2,Calm the F*ck Down: An Irreverent Adult・,Sasha O'Hara,2016,CreateSpace Independent Publishing Platform,52,4.99,1,1,2,0,1,9938.45721,,0
2018,Business&SelfHelp,2,Extreme Ownership: How U.S. Navy SEALs Lead・,Jocko Willink,2020,St. Martin's Press,238,28.99,0,1,1,0,0,5761.2,,1
2018,Business&SelfHelp,2,The 7 Habits of Highly Effective People:・,Stephen R. Covey,2020,Simon & Schuster,464,18.99,0,0,8,1,1,26366.1,,1
2017,Business&SelfHelp,2,Option B: Facing Adversity Building Resilience・,Sheryl Sandberg,2017,Knopf,240,25.95,1,0,1,0,0,52393,,1
2017,Business&SelfHelp,2,Tools of Titans: The Tactics Routines and Habits・,Tim Ferriss,2018,Houghton Mifflin Harcourt,288,30,0,1,2,0,1,9666.3594,,1
2017,Business&SelfHelp,2,Thinking Fast and Slow,Daniel Kahneman,2013,Farrar Straus and Giroux,499,18,0,1,5,1,1,49368,,1
2017,Business&SelfHelp,2,Mindset: The New Psychology of Success,Carol S. Dweck,2007,Ballantine Books,320,17,1,1,5,1,1,11202.62009,,1
2017,Business&SelfHelp,2,Start with Why: How Great Leaders Inspire・,Simon Sinek,2011,Portfolio,256,16,0,1,1,0,0,435237,,1
2016,Business&SelfHelp(CCD),2,Adult Coloring Book Designs: Stress Relief・,MantraCraft,2018,New Castle P&P ,108,4.99,2,1,1,0,0,61600,,0
2016,Business&SelfHelp,2,The Five Dysfunctions of a Team: A Leadership・,Patrick Lencioni,2002,Jossey-Bass,229,24.95,0,0,6,1,1,14241.7,,1
2016,Business&SelfHelp(CCD),2,Adult Coloring Books: A Coloring Book for Adults・,Damita Victoria,2020,Independently published ,109,6.2,1,1,2,0,1,5004.6,,0
2016,Business&SelfHelp,2,Grit: The Power of Passion and Perseverance,Angela Duckworth,2018,Scribner,368,17.99,1,1,1,0,0,30213.7,,1
2016,Business&SelfHelp,2,Emotional Intelligence 2.0,Travis Bradberry,2009,TalentSmart,280,34.99,2,1,3,1,1,11246.95,,0
2016,Business&SelfHelp(CCD),2,Good Vibes Coloring Book (Coloring is Fun)・,Thaneeya McArdle,2017,Design Originals,80,9.99,1,1,1,0,0,448.1048036,,0
2016,Business&SelfHelp(CCD),2,Creative Haven Owls Coloring Book (Adult・,Marjorie Sarnat,2015,Dover Publications,64,20.63,1,0,2,0,1,2381.5,,0
2016,Business&SelfHelp(CCD),2,Secret Garden: An Inky Treasure Hunt and・,Johanna Basford,2013,Laurence King Publishing,96,15.95,1,0,2,0,1,22200,,0
2016,Business&SelfHelp(CCD),2,Harry Potter Coloring Book,Scholastic,2015,Scholastic Inc.,96,15.99,2,0,2,0,1,7901300,,1
2015,Business&SelfHelp(CCD),2,Enchanted Forest: An Inky Quest and Coloring・,Johanna Basford (Illustrator,2015,Laurence King Publishing,84,9.99,1,1,1,0,0,551.4869393,,0
2015,Business&SelfHelp(CCD),2,Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,2015,Blue Star Coloring,96,8.95,2,1,1,0,0,17036800,,0
2015,Business&SelfHelp(CCD),2,Creative Haven Creative Cats Coloring Book・,Marjorie Sarnat,2020,Dover Publications,64,5.99,1,1,1,0,0,4951.3,,0
2015,Business&SelfHelp(CCD),2,Balance (Angie's Extreme Stress Menders),Angie Grace,2015,CreateSpace Independent Publishing Platform ,103,11.95,1,1,1,0,0,186819.16,,0
2015,Business&SelfHelp(CCD),2,Dover Creative Haven Art Nouveau Animal・,Marty Noble,2013,Dover Publications,64,5.99,0,1,1,0,0,30200,,0
2015,Business&SelfHelp(CCD),2,Lost Ocean: An Inky Adventure and Coloring・,Johanna Basford,2015,Penguin Books,80,16.95,1,1,1,0,0,25155.9,,1
2015,Business&SelfHelp,2,Get What's Yours: The Secrets to Maxing Out・,Laurence J. Kotlikoff,2016,Simon & Schuster,384,20,0,1,1,0,0,2701.93,,1
2015,Business&SelfHelp(CCD),2,Mystical Mandala Coloring Book (Dover Design・,Alberta Hutchinson,2007,Dover Publications ,32,3.99,1,1,1,0,0,76463.52772,,0
2015,Business&SelfHelp,2,The Road to Character,David Brooks,2016,Random House Trade Paperbacks,320,18,2,0,1,0,0,358408,,1
2015,Business&SelfHelp(CCD),2,Creative Coloring Inspirations: Art Activity Pages・,Valentina Harper,2014,Design Originals,80,8.97,1,1,1,0,0,237184.2,,0
2015,Business&SelfHelp,2,Crucial Conversations Tools for Talking When・,Kerry Patterson,2011,McGraw-Hill Education,272,20,0,0,3,1,1,47993.198,,1
2015,Business&SelfHelp(CCD),2,Detailed Designs and Beautiful Patterns (Sacred・,Lilt Kids Coloring Books,2014,CreateSpace Independent Publishing Platform,42,4.72,2,1,1,0,0,6180,,0
2014,Business&SelfHelp,2,Flash Boys,Michael Lewis,2015,W. W. Norton & Company,320,16.95,0,0,1,0,0,23030293,,0
2014,Business&SelfHelp,2,Lean In: Women Work and the Will to Lead,Sheryl Sandberg,2013,Knopf,240,24.95,1,1,2,0,1,28841.01308,,1
2014,Business&SelfHelp,2,MONEY Master the Game: 7 Simple Steps to・,Tony Robbins,2019,Simon & Schuster,688,32,0,1,1,0,0,265100,,1
2014,Business&SelfHelp,2,Quiet: The Power of Introverts in a World That・,Susan Cain,2013,Crown,368,18,1,1,3,1,1,55647.56551,,1
2014,Business&SelfHelp,2,Good to Great: Why Some Companies Make the・,Jim Collins,2001,HarperBusiness,400,32.5,0,0,4,1,1,732898.1913,,1
2013,Business&SelfHelp,2,The Five Dysfunctions of a Team: A Leadership・,Patrick Lencioni,2002,Jossey-Bass,229,24.95,0,0,6,1,1,14032.14671,,1
2013,Business&SelfHelp,2,Outliers: The Story of Success,Malcolm Gladwell,2011,Back Bay Books,336,17.99,0,0,3,1,1,38974.342,,1
2013,Business&SelfHelp,2,The Power of Habit: Why We Do What We Do in・,Charles Duhigg,1994,Random House,371,18,0,1,2,0,1,4837.7,,1
2013,Business&SelfHelp,2,Strengths Based Leadership: Great Leaders・,Tom Rath,2009,Gallup Press,266,40,0,0,3,1,1,67600,,0
2013,Business&SelfHelp,2,Life Code: The New Rules for Winning in the Real・,Dr. Phil McGraw,2012,Bird Street Books,135,12.99,0,0,1,0,0,48581.5,,0
2012,Business&SelfHelp,2,The Signal and the Noise: Why So Many・,Nate Silver,2015,Penguin Books,576,20,0,1,1,0,0,87244.06457,,1
2012,Business&SelfHelp,2,Great by Choice: Uncertainty Chaos and Luck・,Jim Collins,2011,Harper Business,320,29.99,0,0,1,0,0,237938.3579,,1
2012,Business&SelfHelp,2,Who Moved My Cheese,Spencer Johnson,1998,G. P. Putnam's Sons,96,22,0,0,2,0,1,377271.6306,,1
2012,Business&SelfHelp,2,A Guide to the Project Management Body of・,Project Management Institut,2017,Project Management Institute,756,98.99,2,1,2,0,1,34661831.06,,0
2012,Business&SelfHelp,2,The 7 Habits of Highly Effective Teens: The・,Sean Covey,1999,Simon & Schuster,288,13.99,0,0,2,0,1,1.12E+04,,1
2011,Business&SelfHelp,2,Switch: How to Change Things When Change Is・,Chip Heath,2010,Crown Business,305,29,0,0,1,0,0,6.12E+04,,1
2011,Business&SelfHelp,2,Moonwalking With Einstein: The Art and Science・,Joshua Foer,2011,Penguin Books,307,17.99,0,1,1,0,0,5.22E+03,,1
2011,Business&SelfHelp,2,The 4-Hour Workweek: Escape 9-5 Live・,Timothy Ferriss,2011,Harmony,254,24.99,0,0,1,0,0,9.15E+03,,1
2011,Business&SelfHelp,2,Delivering Happiness: A Path to Profits Passion・,Tony Hsieh,2010,Grand Central Publishing,272,17,0,0,1,0,0,2.68E+04,,1
2011,Business&SelfHelp,2,The Tipping Point: How Little Things Can Make a・,Malcolm Gladwell,2006,Turtleback Books ,304,21.65,0,1,3,1,1,83025.69615,,0
2011,Business&SelfHelp,2,Getting Things Done: The Art of Stress-Free・,David Allen,2011,Penguin Books,436,26,0,0,2(2009),2,1,20071786.13,,1
2011,Business&SelfHelp,2,Now Discover Your Strengths,Gallup,2001,Gallup Press,320,39.95,2,0,2(2019),2,1,305800,,0
2011,Business&SelfHelp,2,Drive: The Surprising Truth About What・,Daniel H. Pink,2011,Riverhead Books ,288,17,0,0,1,0,0,257016.2983,,1
2020,CookbooksFood&Wine,4,Magnolia Table: A Collection of Recipes for・,Joanna Gaines,2018,William Morrow Cookbooks,336,35,1,0,3,1,1,289000,2019_87,1
2019,CookbooksFood&Wine,4,Salt Fat Acid Heat: Mastering the Elements of・,Samin Nosrat,2017,Simon and Schuster,480,37.5,1,1,2,0,1,6430.76643,2019_15,1
2019,CookbooksFood&Wine,4,Instant Pot Pressure Cooker Cookbook: 500・,Jessica Williams,2020,Independently published ,254,8.99,1,1,2,0,1,23650000,2019_31,0
2019,CookbooksFood&Wine,4,The Complete Ketogenic Diet for Beginners: Your・,Amy Ramos,2016,Rockridge Press ,158,11.99,1,1,3,1,1,264000,2019_35,0
2019,CookbooksFood&Wine,4,The Unofficial Harry Potter Cookbook: From・,Dinah Bucholz,2010,Adams Media,256,10.99,1,1,1,0,0,22200,2019_49,1
2019,CookbooksFood&Wine,4,The Complete Cookbook for Young Chefs: 100+・,America's Test Kitchen Kids,2019,Sourcebooks Explore ,224,19.99,2,1,1,0,0,127069.239,2019_80,1
2019,CookbooksFood&Wine,4,The Easy 5-Ingredient Ketogenic Diet Cookbook:・,Jen Fisch,2018,Rockridge Press ,210,14.99,1,1,2,0,1,10200,2019_83,0
2019,CookbooksFood&Wine,4,Simply Keto: A Practical Approach to Health &・,Emily Taylor,2020,Victory Belt Publishing,220,34.95,1,1,2,0,1,650871.5,2019_98,0
2018,CookbooksFood&Wine,4,The Instant Pot Electric Pressure Cooker・,Laurel Randolph,2016,Rockridge Press ,176,14.99,1,1,3,1,1,44801.46,,0
2018,CookbooksFood&Wine,4,The Plant Paradox Cookbook: 100 Delicious・,Dr. Steven R Gundry MD,2018,Harper Wave,288,35,0,1,1,0,0,2552,,1
2018,CookbooksFood&Wine,4,The Whole30: The 30-Day Guide to Total Health・,Melissa Hartwig Urban,2015,Houghton Mifflin Harcourt,432,30,1,0,4,1,1,3158.1,,1
2018,CookbooksFood&Wine,4,The Keto Diet: The Complete Guide to a High-Fat・,Leanne Vogel,2017,Victory Belt Publishing,448,34.95,1,1,1,0,0,8690,,0
2018,CookbooksFood&Wine,4,Cravings: Hungry for More: A Cookbook,Chrissy Teigen,2018,Clarkson Potter,256,29.99,1,0,1,0,0,5790000,,1
2017,CookbooksFood&Wine,4,Thug Kitchen: The Official Cookbook: Eat Like・,Thug Kitchen,2014,Rodale Books,240,8.99,2,1,4,1,1,72672.6,,1
2017,CookbooksFood&Wine,4,The Whole30 Cookbook: 150 Delicious and・,Melissa Hartwig Urban,2016,Houghton Mifflin Harcourt,320,30,1,1,1,0,0,3300.88,,1
2017,CookbooksFood&Wine,4,The Pioneer Woman Cooks: Come and Get It!:・,Ree Drummond,2017,William Morrow Cookbooks,400,29.99,1,0,1,0,0,1.99E+05,,1
2017,CookbooksFood&Wine,4,10-Day Green Smoothie Cleanse,JJ Smith,2014,Simon & Schuster ,192,16.99,1,1,3,1,1,58685000,,1
